criterion;gini
depth;100
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;429.4031810760498;1114;1594;381;111;0.84625;0.7451505016722408;0.9093877551020408;0.8191176470588235
DecisionTree;39527;419.2259032726288;1080;1590;346;184;0.834375;0.7573632538569425;0.8544303797468354;0.8029739776951672
DecisionTree;39527;260.6240873336792;1153;1613;324;110;0.864375;0.7806364251861883;0.9129057798891528;0.8416058394160584
DecisionTree;39527;93.09207344055176;1103;1563;388;146;0.833125;0.7397719651240778;0.8831064851881505;0.8051094890510948
DecisionTree;39527;102.12963557243347;1084;1555;353;208;0.8246875;0.7543493389004872;0.8390092879256966;0.7944301942103336
criterion;gini
depth;200
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;137.39003825187683;1162;1540;378;120;0.844375;0.7545454545454545;0.906396255850234;0.8235294117647058
DecisionTree;39527;132.91063237190247;1134;1547;400;119;0.8378125;0.7392438070404173;0.9050279329608939;0.8137782561894511
DecisionTree;39527;132.32927775382996;1172;1568;351;109;0.85625;0.7695338148391333;0.9149102263856362;0.8359486447931527
DecisionTree;39527;114.86735606193542;1128;1611;356;105;0.8559375;0.7601078167115903;0.9148418491484185;0.8303275671696725
DecisionTree;39527;132.37154507637024;1119;1591;365;125;0.846875;0.7540431266846361;0.8995176848874598;0.8203812316715543
criterion;gini
depth;400
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;132.86022996902466;1132;1573;364;131;0.8453125;0.7566844919786097;0.8962787015043547;0.8205871692642261
DecisionTree;39527;133.63180446624756;1125;1598;365;112;0.8509375;0.7550335570469798;0.9094583670169766;0.825082508250825
DecisionTree;39527;138.76239824295044;1162;1547;370;121;0.8465625;0.758485639686684;0.9056897895557288;0.8255772646536411
DecisionTree;39527;160.94568824768066;1153;1585;357;105;0.855625;0.7635761589403973;0.9165341812400636;0.8330924855491328
DecisionTree;39527;150.14049220085144;1136;1578;370;116;0.848125;0.7543160690571049;0.9073482428115016;0.8237853517041335
criterion;gini
depth;600
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;158.09253454208374;1122;1600;381;97;0.850625;0.7465069860279441;0.9204265791632485;0.8243938280675972
DecisionTree;39527;151.31020522117615;1150;1584;377;89;0.854375;0.7531106745252129;0.9281678773204197;0.8315256688358641
DecisionTree;39527;157.8437213897705;1180;1529;369;122;0.8465625;0.7617817947062621;0.9062980030721967;0.8277797264117853
DecisionTree;39527;157.46082997322083;1121;1583;372;124;0.845;0.7508372404554589;0.9004016064257028;0.8188458728999269
DecisionTree;39527;154.00046300888062;1200;1562;350;88;0.863125;0.7741935483870968;0.9316770186335404;0.8456659619450316
criterion;gini
depth;800
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;153.73952984809875;1180;1556;346;118;0.855;0.7732634338138925;0.9090909090909091;0.8356940509915014
DecisionTree;39527;166.0294849872589;1138;1540;393;129;0.836875;0.7433050293925539;0.8981846882399369;0.8134381701215155
DecisionTree;39527;147.89998817443848;1119;1617;343;121;0.855;0.7653898768809849;0.9024193548387097;0.8282753515914139
DecisionTree;39527;187.4034297466278;1122;1614;346;118;0.855;0.7643051771117166;0.9048387096774193;0.8286558345642541
DecisionTree;39527;122.3378849029541;1140;1599;353;108;0.8559375;0.7635632953784327;0.9134615384615384;0.8318132068588107
criterion;entropy
depth;100
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;91.5715262889862;1066;1651;298;185;0.8490625;0.781524926686217;0.8521183053557154;0.8152963671128106
DecisionTree;39527;92.02545428276062;994;1659;346;201;0.8290625;0.7417910447761195;0.8317991631799163;0.7842209072978303
DecisionTree;39527;88.1885576248169;1079;1629;305;187;0.84625;0.7796242774566474;0.8522906793048973;0.8143396226415095
DecisionTree;39527;94.66225862503052;1064;1597;311;228;0.8315625;0.7738181818181818;0.8235294117647058;0.7979002624671916
DecisionTree;39527;85.87591123580933;1120;1632;279;169;0.86;0.8005718370264474;0.8688906128782001;0.8333333333333334
criterion;entropy
depth;200
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;103.68559408187866;1165;1614;306;115;0.8684375;0.7919782460910945;0.91015625;0.8469647400945112
DecisionTree;39527;106.8156304359436;1133;1639;324;104;0.86625;0.7776252573781743;0.9159256265157639;0.8411284335560505
DecisionTree;39527;103.92838954925537;1110;1654;297;139;0.86375;0.7889125799573561;0.88871096877502;0.8358433734939759
DecisionTree;39527;108.56721925735474;1149;1621;320;110;0.865625;0.7821647379169503;0.9126290706910246;0.8423753665689149
DecisionTree;39527;104.06737327575684;1150;1621;311;118;0.8659375;0.7871321013004792;0.9069400630914827;0.8427995602784903
criterion;entropy
depth;400
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;107.73463082313538;1152;1583;342;123;0.8546875;0.7710843373493976;0.9035294117647059;0.8320693391115926
DecisionTree;39527;107.94689273834229;1112;1669;302;117;0.8690625;0.7864214992927864;0.9048006509357202;0.8414680287552024
DecisionTree;39527;102.29732370376587;1124;1626;306;144;0.859375;0.786013986013986;0.886435331230284;0.8332097850259452
DecisionTree;39527;109.07165217399597;1119;1615;326;140;0.854375;0.77439446366782;0.8888006354249405;0.827662721893491
DecisionTree;39527;101.59842038154602;1133;1614;324;129;0.8584375;0.7776252573781743;0.8977812995245642;0.8333946303788158
criterion;entropy
depth;600
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;114.74996495246887;1122;1605;325;148;0.8521875;0.7753973738769868;0.8834645669291339;0.825910931174089
DecisionTree;39527;105.31741952896118;1110;1657;317;116;0.8646875;0.7778556412053259;0.9053833605220228;0.8367885412740295
DecisionTree;39527;107.02166676521301;1161;1595;317;127;0.86125;0.7855209742895806;0.9013975155279503;0.8394793926247288
DecisionTree;39527;106.51900029182434;1142;1631;321;106;0.8665625;0.7805878332194122;0.9150641025641025;0.8424935448174106
DecisionTree;39527;110.52868318557739;1139;1581;358;122;0.85;0.7608550434201736;0.9032513877874703;0.8259608411892675
criterion;entropy
depth;800
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
DecisionTree;39527;108.34598183631897;1150;1608;307;135;0.861875;0.789293067947838;0.8949416342412452;0.8388037928519329
DecisionTree;39527;105.85739731788635;1132;1628;320;120;0.8625;0.7796143250688705;0.9041533546325878;0.8372781065088758
DecisionTree;39527;108.59255909919739;1160;1617;312;111;0.8678125;0.7880434782608695;0.912667191188041;0.8457892818082392
DecisionTree;39527;107.67061948776245;1127;1637;316;120;0.86375;0.781011781011781;0.9037690457097033;0.8379182156133829
DecisionTree;39527;107.13752555847168;1135;1605;357;103;0.85625;0.7607238605898123;0.9168012924071083;0.8315018315018314
